"time_index","left_time_boundary","right_time_boundary","lambda_00","lambda_01","lambda_11","pop1pop2Names","loc1loc2Name","fileName","rCCR","minDivTime"
12,0.00202963,0.00306484,1055.9967,665.953,983.9554,"EJ_WJ","Csg_Ehm","EJ_WJ-Csg_Ehm/combined.msmc2.final.txt",0.652910428632123,579894.285714286
11,0.00123298,0.00186423,1509.768,747.39,1477.675,"EJ_WJ","Csg_Eky","EJ_WJ-Csg_Eky/combined.msmc2.final.txt",0.50035431638361,352280
12,0.00216146,0.00326391,938.4626,586.005,744.4628,"EJ_WJ","Csg_Myk","EJ_WJ-Csg_Myk/combined.msmc2.final.txt",0.696412330576269,617560
11,0.00164197,0.0024826,888.8542,563.031,1322.205,"EJ_WJ","Ich_Ehm","EJ_WJ-Ich_Ehm/combined.msmc2.final.txt",0.509286228066621,469134.285714286
11,0.00152262,0.00230215,989.5213,604.927,1328.414,"EJ_WJ","Ich_Eky","EJ_WJ-Ich_Eky/combined.msmc2.final.txt",0.521953309050516,435034.285714286
11,0.00169965,0.00256981,987.5867,514.514,952.6376,"EJ_WJ","Ich_Myk","EJ_WJ-Ich_Myk/combined.msmc2.final.txt",0.530365484031924,485614.285714286
12,0.00235094,0.00355005,811.7144,563.346,806.9422,"EJ_WJ","Iso_Ehm","EJ_WJ-Iso_Ehm/combined.msmc2.final.txt",0.696066108154132,671697.142857143
12,0.00216898,0.00327527,912.8431,620.325,903.3455,"EJ_WJ","Iso_Eky","EJ_WJ-Iso_Eky/combined.msmc2.final.txt",0.683106369019165,619708.571428571
12,0.00238786,0.00360579,630.2245,525.589,719.5562,"EJ_WJ","Iso_Myk","EJ_WJ-Iso_Myk/combined.msmc2.final.txt",0.77877687834772,682245.714285714
11,0.00126599,0.00191414,1134.1501,740.014,1571.708,"EJ_WJ","Mry_Ehm","EJ_WJ-Mry_Ehm/combined.msmc2.final.txt",0.546971772096992,361711.428571429
9,0.000505443,0.000767931,312.017,222.993,501.7886,"EJ_WJ","Mry_Eky","EJ_WJ-Mry_Eky/combined.msmc2.final.txt",0.54802522862954,144412.285714286
11,0.00139451,0.00210845,1306.953,616.754,1112.579,"EJ_WJ","Mry_Myk","EJ_WJ-Mry_Myk/combined.msmc2.final.txt",0.509812641452975,398431.428571429
12,0.00373905,0.00564615,558.0544,314.143,547.567,"EJ_WK","Csg_Gin","EJ_WK-Csg_Gin/combined.msmc2.final.txt",0.568265049862457,1068300
12,0.00364937,0.00551074,638.8395,325.632,408.4732,"EJ_WK","Csg_Hrd","EJ_WK-Csg_Hrd/combined.msmc2.final.txt",0.621842931915177,1042677.14285714
12,0.00364376,0.00550227,600.3339,318.178,348.4332,"EJ_WK","Csg_Izm","EJ_WK-Csg_Izm/combined.msmc2.final.txt",0.670718872945742,1041074.28571429
14,0.00851469,0.0128398,2.66354,197.858,5.09308,"EJ_WK","Csg_Nag","EJ_WK-Csg_Nag/combined.msmc2.final.txt",51.0165510235128,2432768.57142857
12,0.00403712,0.00609626,398.2403,297.143,513.2002,"EJ_WK","Ich_Gin","EJ_WK-Ich_Gin/combined.msmc2.final.txt",0.652029397420896,1153462.85714286
11,0.00258391,0.00390679,803.2866,321.714,460.5795,"EJ_WK","Ich_Hrd","EJ_WK-Ich_Hrd/combined.msmc2.final.txt",0.509095069485605,738260
11,0.00255266,0.00385954,810.4321,333.653,513.4078,"EJ_WK","Ich_Izm","EJ_WK-Ich_Izm/combined.msmc2.final.txt",0.504068505564759,729331.428571429
12,0.00401673,0.00606547,462.4363,297.358,665.8323,"EJ_WK","Ich_Nag","EJ_WK-Ich_Nag/combined.msmc2.final.txt",0.52710498191654,1147637.14285714
13,0.00621568,0.00937814,6.09489,213.753,137.14918,"EJ_WK","Iso_Gin","EJ_WK-Iso_Gin/combined.msmc2.final.txt",2.9844586236624,1775908.57142857
11,0.00260486,0.00393846,792.3384,334.588,435.3955,"EJ_WK","Iso_Hrd","EJ_WK-Iso_Hrd/combined.msmc2.final.txt",0.545049704989005,744245.714285714
11,0.0025943,0.0039225,778.9173,347.876,497.8276,"EJ_WK","Iso_Izm","EJ_WK-Iso_Izm/combined.msmc2.final.txt",0.544942063210904,741228.571428571
13,0.00611558,0.00922712,71.1374,215.067,196.306248,"EJ_WK","Iso_Nag","EJ_WK-Iso_Nag/combined.msmc2.final.txt",1.6083163807278,1747308.57142857
12,0.00366537,0.0055349,540.5152,323.072,517.9591,"EJ_WK","Mry_Gin","EJ_WK-Mry_Gin/combined.msmc2.final.txt",0.610448453968131,1047248.57142857
11,0.00236598,0.00357728,896.6302,360.052,446.3534,"EJ_WK","Mry_Hrd","EJ_WK-Mry_Hrd/combined.msmc2.final.txt",0.536197165773283,675994.285714286
11,0.00236234,0.00357177,928.8217,372.339,521.201,"EJ_WK","Mry_Izm","EJ_WK-Mry_Izm/combined.msmc2.final.txt",0.513562994565533,674954.285714286
13,0.0055373,0.00835462,506.321,251.018,185.5428,"EJ_WK","Mry_Nag","EJ_WK-Mry_Nag/combined.msmc2.final.txt",0.725628367895531,1582085.71428571
12,0.00977312,0.0147579,234.715,127.218,15.4089,"O_sak_WK","Ktg_Gin","O_sak_WK-Ktg_Gin/combined.msmc2.final.txt",1.0172398559274,2792320
12,0.00957535,0.0144593,200.8,135.864,246.6296,"O_sak_WK","Ktg_Hrd","O_sak_WK-Ktg_Hrd/combined.msmc2.final.txt",0.60730894871506,2735814.28571429
13,0.014923,0.0225157,431.665,178.132,117.777,"O_sak_WK","Ktg_Izm","O_sak_WK-Ktg_Izm/combined.msmc2.final.txt",0.648410569268458,4263714.28571429
12,0.00968732,0.0146283,188.997,133.674,181.172,"O_sak_WK","Ktg_Nag","O_sak_WK-Ktg_Nag/combined.msmc2.final.txt",0.72223227768938,2767805.71428571
12,0.00972674,0.0146879,180.229,126.918,15.5545,"O_sak_WK","Kwb_Gin","O_sak_WK-Kwb_Gin/combined.msmc2.final.txt",1.29651375115881,2779068.57142857
12,0.00953041,0.0143914,154.456,136.337,208.132,"O_sak_WK","Kwb_Hrd","O_sak_WK-Kwb_Hrd/combined.msmc2.final.txt",0.752021578209979,2722974.28571429
12,0.00983836,0.0148564,185.22,130.665,128.464,"O_sak_WK","Kwb_Izm","O_sak_WK-Kwb_Izm/combined.msmc2.final.txt",0.833099552415807,2810960
12,0.00964254,0.0145607,181.704,133.055,187.732,"O_sak_WK","Kwb_Nag","O_sak_WK-Kwb_Nag/combined.msmc2.final.txt",0.720314208685672,2755011.42857143
12,0.00976394,0.0147441,228.945,123.946,17.7967,"O_sak_WK","Nig_Gin","O_sak_WK-Nig_Gin/combined.msmc2.final.txt",1.00466196026047,2789697.14285714
12,0.00956683,0.0144464,326.358,134.305,191.8658,"O_sak_WK","Nig_Hrd","O_sak_WK-Nig_Hrd/combined.msmc2.final.txt",0.518328181762397,2733380
13,0.0149131,0.0225007,448.372,171.991,221.868,"O_sak_WK","Nig_Izm","O_sak_WK-Nig_Izm/combined.msmc2.final.txt",0.513222129386488,4260885.71428571
12,0.00968344,0.0146225,396.084,131.293,16.7702,"O_sak_WK","Nig_Nag","O_sak_WK-Nig_Nag/combined.msmc2.final.txt",0.636025986898038,2766697.14285714
12,0.00993845,0.0150076,138.938,125.067,40.9877,"O_sak_WK","Trg_Gin","O_sak_WK-Trg_Gin/combined.msmc2.final.txt",1.39020717996373,2839557.14285714
12,0.00971972,0.0146773,192.886,133.4,227.0265,"O_sak_WK","Trg_Hrd","O_sak_WK-Trg_Hrd/combined.msmc2.final.txt",0.63537046408478,2777062.85714286
12,0.0100239,0.0151366,338.814,130.414,178.222,"O_sak_WK","Trg_Izm","O_sak_WK-Trg_Izm/combined.msmc2.final.txt",0.504467774004131,2863971.42857143
12,0.00984859,0.0148719,304.407,130.915,143.343,"O_sak_WK","Trg_Nag","O_sak_WK-Trg_Nag/combined.msmc2.final.txt",0.584768285873814,2813882.85714286
4,8.83724e-06,1.43903e-05,4889.002,10638.9,27502.64,"O_sak1_O_sak2","Ktg_Kwb","O_sak1_O_sak2-Ktg_Kwb/combined.msmc2.final.txt",0.656891675945295,2524.92571428571
3,6.43311e-06,1.10374e-05,11908.472,10612.1,21189.02,"O_sak1_O_sak2","Ktg_Nig","O_sak1_O_sak2-Ktg_Nig/combined.msmc2.final.txt",0.641263090266779,1838.03142857143
8,0.000178919,0.00027306,980.29,636.581,1205.575,"O_sak1_O_sak2","Ktg_Trg","O_sak1_O_sak2-Ktg_Trg/combined.msmc2.final.txt",0.58245225574315,51119.7142857143
4,1.17419e-05,1.91201e-05,22905.12,7983.62,8210.037,"O_sak1_O_sak2","Kwb_Nig","O_sak1_O_sak2-Kwb_Nig/combined.msmc2.final.txt",0.513165978882896,3354.82857142857
8,0.000181907,0.00027762,399.8394,600.444,1148.712,"O_sak1_O_sak2","Kwb_Trg","O_sak1_O_sak2-Kwb_Trg/combined.msmc2.final.txt",0.775491210688906,51973.4285714286
9,0.000255163,0.000387675,1726.251,914.1,1167.488,"O_sak1_O_sak2","Nig_Trg","O_sak1_O_sak2-Nig_Trg/combined.msmc2.final.txt",0.631777779544043,72903.7142857143
13,0.00580561,0.00875944,38.7223,225.623,233.751,"WJ_WK","Ehm_Gin","WJ_WK-Ehm_Gin/combined.msmc2.final.txt",1.6561108923333,1658745.71428571
11,0.00243911,0.00368785,858.2712,353.105,457.9408,"WJ_WK","Ehm_Hrd","WJ_WK-Ehm_Hrd/combined.msmc2.final.txt",0.536547303929762,696888.571428571
11,0.00242583,0.00366777,925.446,366.934,507.7166,"WJ_WK","Ehm_Izm","WJ_WK-Ehm_Izm/combined.msmc2.final.txt",0.512061925143735,693094.285714286
13,0.00574749,0.00867175,122.72639,236.434,234.4862,"WJ_WK","Ehm_Nag","WJ_WK-Ehm_Nag/combined.msmc2.final.txt",1.32377193088295,1642140
12,0.00370585,0.00559603,588.6536,318.292,507.7798,"WJ_WK","Eky_Gin","WJ_WK-Eky_Gin/combined.msmc2.final.txt",0.580595228127855,1058814.28571429
11,0.00238336,0.00360355,945.2674,354.815,456.9268,"WJ_WK","Eky_Hrd","WJ_WK-Eky_Hrd/combined.msmc2.final.txt",0.506085391025009,680960
11,0.00238431,0.00360499,912.3176,374.753,535.8346,"WJ_WK","Eky_Izm","WJ_WK-Eky_Izm/combined.msmc2.final.txt",0.517560239869815,681231.428571429
13,0.00557324,0.00840884,598.05088,243.213,261.093632,"WJ_WK","Eky_Nag","WJ_WK-Eky_Nag/combined.msmc2.final.txt",0.566174832296432,1592354.28571429
12,0.00365544,0.0055199,459.0018,321.699,510.1312,"WJ_WK","Myk_Gin","WJ_WK-Myk_Gin/combined.msmc2.final.txt",0.6638903019503,1044411.42857143
11,0.0023559,0.00356204,742.8194,358.428,454.3378,"WJ_WK","Myk_Hrd","WJ_WK-Myk_Hrd/combined.msmc2.final.txt",0.59879855377389,673114.285714286
11,0.00235295,0.00355758,738.5342,374.659,567.801,"WJ_WK","Myk_Izm","WJ_WK-Myk_Izm/combined.msmc2.final.txt",0.573603160965118,672271.428571429
12,0.00367492,0.00554932,512.5365,317.222,460.0631,"WJ_WK","Myk_Nag","WJ_WK-Myk_Nag/combined.msmc2.final.txt",0.652317767763836,1049977.14285714
